Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,0.584,0.083,0.15,0.021,0.015,0.147,1
Alabama,0.571,0.081,0.128,0.036,0.019,0.165,1
Alaska,0.54,0.058,0.115,N/A,0.071,0.211,1
Arizona,0.529,0.083,0.183,0.023,0.019,0.162,1
Arkansas,0.528,0.084,0.177,0.039,0.016,0.155,1
California,0.538,0.094,0.187,0.015,0.01,0.155,1
Colorado,0.59,0.104,0.143,0.014,0.028,0.121,1
Connecticut,0.634,0.08,0.181,0.022,0.008,0.077,1
Delaware,0.648,0.047,0.184,0.026,0.018,0.077,1
District of Columbia,0.608,0.071,0.255,0.008,0.008,0.05,1
Florida,0.499,0.115,0.126,0.021,0.021,0.218,1
Georgia,0.566,0.077,0.105,0.023,0.023,0.206,1
Hawaii,0.672,0.052,0.138,0.017,0.06,0.061,1
Idaho,0.556,0.126,0.092,0.022,0.017,0.187,1
Illinois,0.62,0.08,0.158,0.019,0.006,0.118,1
Indiana,0.621,0.068,0.121,0.026,0.008,0.156,1
Iowa,0.666,0.1,0.138,0.015,0.008,0.074,1
Kansas,0.624,0.099,0.087,0.022,0.026,0.141,1
Kentucky,0.569,0.064,0.206,0.037,0.017,0.107,1
Louisiana,0.537,0.079,0.143,0.023,0.016,0.202,1
Maine,0.576,0.073,0.191,0.018,0.016,0.126,1
Maryland,0.65,0.072,0.148,0.018,0.019,0.092,1
Massachusetts,0.661,0.06,0.228,0.011,0.004,0.035,1
Michigan,0.606,0.079,0.181,0.024,0.006,0.105,1
Minnesota,0.668,0.086,0.154,0.017,0.007,0.068,1
Mississippi,0.52,0.074,0.164,0.029,0.019,0.195,1
Missouri,0.611,0.089,0.106,0.031,0.015,0.149,1
Montana,0.537,0.134,0.107,0.02,0.016,0.185,1
Nebraska,0.638,0.111,0.089,0.017,0.02,0.126,1
Nevada,0.577,0.07,0.126,0.021,0.02,0.185,1
New Hampshire,0.7,0.08,0.073,0.027,0.011,0.11,1
New Jersey,0.655,0.063,0.122,0.018,0.004,0.138,1
New Mexico,0.47,0.066,0.222,0.026,0.025,0.191,1
New York,0.595,0.062,0.219,0.018,0.005,0.101,1
North Carolina,0.553,0.101,0.118,0.026,0.029,0.174,1
North Dakota,0.668,0.11,0.094,0.019,0.016,0.094,1
Ohio,0.628,0.06,0.18,0.026,0.008,0.098,1
Oklahoma,0.557,0.084,0.104,0.027,0.022,0.205,1
Oregon,0.549,0.091,0.209,0.02,0.01,0.122,1
Pennsylvania,0.643,0.089,0.135,0.021,0.005,0.106,1
Rhode Island,0.594,0.078,0.218,0.023,0.009,0.079,1
South Carolina,0.546,0.074,0.135,0.032,0.027,0.186,1
South Dakota,0.623,0.13,0.096,0.013,0.019,0.119,1
Tennessee,0.549,0.085,0.164,0.028,0.021,0.153,1
Texas,0.548,0.078,0.092,0.017,0.018,0.246,1
Utah,0.65,0.101,0.072,0.012,0.013,0.152,1
Vermont,0.587,0.077,0.25,0.021,N/A,0.054,1
Virginia,0.637,0.084,0.07,0.022,0.051,0.136,1
Washington,0.599,0.088,0.153,0.02,0.029,0.111,1
West Virginia,0.564,0.039,0.233,0.039,0.011,0.114,1
Wisconsin,0.658,0.082,0.15,0.017,0.008,0.086,1
Wyoming,0.63,0.088,0.094,0.01,0.019,0.159,1
Puerto Rico,0.31,0.098,0.488,0.04,0.005,0.06,1
